address,balance_now,pct_now,balance_1d_ago,pct_1d_ago,balance_7d_ago,pct_7d_ago,balance_30d_ago,pct_30d_ago
929fdCX5PbGr7rxrUb7GEyVbxka9WXszGkzHrnnCZ58m,5970586.560152217,0.5970724840183916,5970586.560152217,0.5970724840183916,5970586.560152217,0.5970724840183916,5970586.560152217,0.5970724840183916
GSusGbXPnpVXHtphMFqL7j6D2g7BCSni2LmPHqJQTiZv,5183808.470585468,0.5183928528672292,5183808.470585468,0.5183928528672292,5183808.470585468,0.5183928528672292,5183808.470585468,0.5183928528672292
9XVWfqzavraezfvS38v8xcZepHYxcNKtnNMEKpPXEwTN,9498098.104822451,0.9498318082758253,9498098.104822451,0.9498318082758253,9498098.104822451,0.9498318082758253,9498098.104822451,0.9498318082758253
51gpe3C8ythVQpAq9XM624icAbZNsr5UhVSs8JeUuYSy,6581059.087844784,0.6581211506547723,6581059.087844784,0.6581211506547723,6581059.087844784,0.6581211506547723,6581059.087844784,0.6581211506547723
CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,8001788.530472356,0.8001973853565907,8001788.530472356,0.8001973853565907,8001788.530472356,0.8001973853565907,8001788.530472356,0.8001973853565907
AmRyFpnbinAefMd1oasschs4vcyTMXKZtNzzxixU2me1,4930114.014264769,0.4930228196735001,4930114.014264769,0.4930228196735001,4930114.014264769,0.4930228196735001,4930114.014264769,0.4930228196735001
2XpPvSMuK7o5qkGrVHoG479wbBtqVxgjBeReZvji9qvJ,22606888.41568747,2.260741199594466,22606888.41568747,2.260741199594466,22606888.41568747,2.260741199594466,22606888.41568747,2.260741199594466
3qqvMH3wptRPX6FNsx5abWEWYv3WgQPtxqd3ik1EHnrz,6507314.778002135,0.6507465488771456,6507314.778002135,0.6507465488771456,6507314.778002135,0.6507465488771456,6507314.778002135,0.6507465488771456
F3p52Kk8ucH6MfUxpWeYUV5EJCFSDtuHs5pB7V4Qiehj,15510961.838701604,1.5377053048476292,15510961.838701604,1.5377053048476292,15510961.838701604,1.5377053048476292,15510961.838701604,1.5377053048476292
Cxe1d5zFifK4a4UZoHQaCK7sfqd84XjcKy1qtjnz3bge,7709951.461833763,0.7710130025919854,7709951.461833763,0.7710130025919854,7709951.461833763,0.7710130025919854,7709951.461833763,0.7710130025919854
DrwPKpx3SityVbwd27R9SaFkTtKKA567xuNSnX4Hgdde,6300741.976302759,0.630088790280285,6300741.976302759,0.630088790280285,6300741.976302759,0.630088790280285,6300741.976302759,0.630088790280285
BgH3HiSZ6uX5c3rdQ4uL7FfX1zYAGbDpTcHwvzAx7vEM,16311056.698245158,1.6311434465724879,16311056.698245158,1.6311434465724879,16311056.698245158,1.6311434465724879,16311056.698245158,1.6311434465724879
HUewpC2nn3cmbxCpGvHiADEJrCyzmxQBuBFj3L99LLmx,8722877.194745377,0.8723079218402993,8722877.194745377,0.8723079218402993,8722877.194745377,0.8723079218402993,8722877.194745377,0.8723079218402993
