address,balance,percentage
CLTuDA1JPBNF8qLCc3HN9B3XxTzxVFVoySvcNPHRyD5K,1276423.10925,0.127704205013382100
9BnK7viPHjtr9Jwd8h9LddvGU64aPmjjdjS1bGQwtY1Z,1267634.342838,0.126824902202614100
FB5GJ5ox2gZ96G2WhQbCUAjta1QVQG3mQauoBD6PkwvY,1243275.343051,0.124387821049682200
2Lh8SJr4LkWGToy7h5uRMCGrUP9KmxgFcTQ89VWkyDDc,1210000.0,0.121058673214547500
Hq18b3dp5ywDoZTt83uMJ9FSd5ViPamggRcKzrxuo9X8,1194427.569735,0.119500675076855800
4nd1oSS5PR5TNmr4evHLF1WW13LdJYAaTSo3PdTMwrEz,1186838.763589,0.118741426479073000
9S9X6Z66HscLEufxNLrZpjAWcjDVgduUQeGoaKFBcxpN,1186023.901796,0.118659900786912800
5hqsmg6X4sLifK14PQsg4nmEkMXvuHshatPFbTaCojV1,1164519.956231,0.116508463498502300
CLAWqp5njyAofExXwbAfXLKnWkBxtEHExRhv5ZH9kKBd,1104653.780011,0.110518942950054800
9TYSSswXkjrR7tzt65EkkofuGssuck2HGs3z5vwHztz9,1081618.029525,0.108214250891925400
2TE2tpFMvrudWA57htw4k3ZbBy7jWUzFgH5XiuaGXgR7,1032388.426539,0.103288903437079100
EtrvGYEjorYTsRNu7VtSCLdtGh6DWZgx2fko4Kt7izPn,1019064.696279,0.101955884339935200
